resolution,scope,feature,lag,n,spearman_r,p,q_fdr
weekly,pooled,wind_over_30km/h,1,333,-0.07461924940056444,0.17432163228526665,0.8748065108673045
weekly,pooled,snow_over_0.5cm,1,333,-0.07416518216507902,0.17696512292592517,0.8748065108673045
monthly,gilde,snow_over_5cm,2,39,0.2204900162555031,0.17739216874770636,0.8748065108673045
monthly,gilde,tmin_under_2°C,2,39,0.22032790735809824,0.17771907835204415,0.8748065108673045
weekly,gilde,snow_over_0.5cm,1,171,-0.10339627240932234,0.1783752371249703,0.8748065108673045
monthly,gilde,snow_over_0.1cm,2,39,0.21892969042734903,0.18055659304295923,0.8748065108673045
monthly,gilde,wind_max_kmh_max,0,41,-0.2128919860627178,0.18141974122351684,0.8748065108673045
weekly,ummels,gust_over_50km/h,1,162,-0.10550306525393391,0.18149414557433113,0.8748065108673045
monthly,ummels,gust_over_80km/h,1,41,0.2127178721253987,0.18178548647011145,0.8748065108673045
monthly,pooled,wind_max_kmh_max,2,79,-0.1516796494644596,0.18207119525872703,0.8748065108673045
weekly,gilde,precip_mm_sum,1,171,-0.10210395074327835,0.1838925063701275,0.8748065108673045
weekly,pooled,gust_over_40km/h,2,331,-0.07321481773707342,0.18392329622678763,0.8748065108673045
weekly,ummels,snow_over_2cm,1,162,-0.10489603360074594,0.18403346991128283,0.8748065108673045
weekly,gilde,tmean_under_6°C,2,170,0.10189987766847557,0.1860835831073956,0.8748065108673045
weekly,pooled,wind_over_35km/h,1,333,-0.07246618444210164,0.18712024219675283,0.8748065108673045
monthly,gilde,tmean_under_10°C,0,41,-0.20889741071331244,0.18994350004528993,0.8748065108673045
weekly,ummels,tmean_under_4°C,2,161,0.10369468913484703,0.1905283166114611,0.8748065108673045
weekly,ummels,gust_over_40km/h,2,161,-0.10362520897119885,0.1908271996619876,0.8748065108673045
weekly,ummels,temp_max_c_max,1,162,0.10327638645217888,0.19093610005282718,0.8748065108673045
weekly,pooled,wind_over_40km/h,1,333,-0.07169298049499781,0.19188108103138252,0.8748065108673045
monthly,ummels,snow_over_0.1cm,0,42,0.20459070193817006,0.19370953963869195,0.8748065108673045
weekly,ummels,tmin_under_2°C,2,161,0.10276979278746334,0.19453499588708234,0.8748065108673045
monthly,ummels,tmean_under_10°C,2,40,0.2094636812257715,0.19456170159188368,0.8748065108673045
weekly,ummels,snow_over_1cm,1,162,-0.10207851783998066,0.19616129285344414,0.8748065108673045
weekly,pooled,gust_over_60km/h,0,335,-0.07078470521013827,0.19623531268415506,0.8748065108673045
weekly,gilde,rain_mm_sum,1,171,-0.0992864227124694,0.1963535295378913,0.8748065108673045
monthly,gilde,tmax_over_27°C,2,39,-0.21098699213920602,0.19728854399112566,0.8748065108673045
monthly,pooled,rain_over_10mm,2,79,0.14629550224151072,0.19826466907771326,0.8748065108673045
weekly,pooled,precip_over_15mm,2,331,0.07086224808510719,0.19845507362816572,0.8748065108673045
monthly,gilde,gust_over_70km/h,1,40,-0.20685337129834677,0.2003080055063989,0.8748065108673045
monthly,gilde,wind_max_kmh_mean,1,40,-0.20600375234521578,0.20220373747595483,0.8748065108673045
weekly,pooled,gust_over_60km/h,1,333,-0.06999104768532301,0.20267158271683647,0.8748065108673045
monthly,gilde,tmax_over_28°C,2,39,-0.20812228839612584,0.2035820541232047,0.8748065108673045
weekly,pooled,tmean_under_2°C,2,331,0.06986349136954759,0.20487081092839243,0.8748065108673045
monthly,gilde,tmax_under_3°C,1,40,0.20435043411398596,0.2059286385558638,0.8748065108673045
weekly,gilde,tmean_under_0°C,0,172,-0.09651388361619377,0.20785688971573593,0.8748065108673045
weekly,pooled,wind_over_35km/h,2,331,0.06926436358667205,0.20879076590957185,0.8748065108673045
weekly,pooled,rain_over_15mm,2,331,0.0692523529333705,0.20886989819437762,0.8748065108673045
weekly,gilde,snow_over_1cm,1,171,-0.09594076602445308,0.21193294588680764,0.8748065108673045
monthly,pooled,rain_mm_sum,2,79,0.1419425511197663,0.21209222271140624,0.8748065108673045
weekly,ummels,tmax_under_3°C,0,163,-0.09818137659120617,0.2124473881040682,0.8748065108673045
monthly,pooled,rain_over_2mm,2,79,0.1417327667601141,0.21277545220591934,0.8748065108673045
monthly,pooled,gust_over_50km/h,0,83,-0.1380791269488715,0.2131848024563761,0.8748065108673045
